,text,sentic_concept
3001,helpful conversation mvdc today today thank information waiting complete preparations undertake homesforukraine safety checks visa waiting prepared ready authorisation2travel,"['help', 'conversation', 'thank', 'information', 'preparation', 'undertake', 'safety', 'prepared', 'ready']"
3002,explore world us travel expore give travel services best information kindly visit website touring tour vacation holidays visauae visa dubia cryptocurrency jordan entertainment asuustrike trending,"['jordan', 'explore', 'travel', 'give', 'best', 'information', 'kindly', 'vacation', 'holidays', 'entertainment', 'trending']"
3003,art walls landscapephotography trees artlovers naturephotography amexlife visa wallart blackandwhitephotography,"['tree', 'art', 'wall']"
3004,israel visa worldwide visa assistance documentation efficient l hassle free l time bound israel visa,"['israel', 'hassle free', 'worldwide', 'assistance', 'documentation', 'efficient']"
3005,jakarta indonesia indonesiavisa visaphoto visa 3x4photo covid bordereopening visa arrival visa exemption arrangement provided designated ports entry enter indonesia 6 april 2022 take indonesia visa photo,"['jakarta', 'indonesia', 'covid', 'arrival', 'exemption', 'arrangement', 'provide', 'enter']"
3006,lightningnetwork lightning labs raised 70m said visa scared adding stablecoins bitcoin lightning network,"['lightning', 'lab', 'scared', 'add']"
3007,update stocks amp surprise interim ceo upgrade cloudmd via cloudmd visa stag amazon avantbrands cielo h20innovations growthstocks smallcaps fstartherapeutics penn etsy coinbase doc v,"['amazon', 'update', 'stocks', 'interim', 'upgrade', 'stag']"
3008,borrow something till salary enter make every day pay day fcmb visa credit card apply fcmb visa banking creditcard visacreditcard sponsoredpost,"['apple', 'borrow', 'salary', 'enter', 'credit']"
3009,visa scared lightning labs raises 70m add stablecoins bitcoin software firm lightning labs secured large funding round enabling develop lightning network faster cheaper bitcoin stablecoin transactions crypto visa lightning,"['transaction', 'scared', 'lightning', 'lab', 'raises', 'add', 'secured', 'funding', 'develop', 'faster', 'cheap']"
3010,mh internationl group shahishameemraza mhinternational mhinternationalgroup job dubai visa,"['dubai', 'group', 'job']"
3011,armenia armeniavisa visa evisa armenia ancient nation wondrous sites prove history armenian ministry foreign affairs made easier foreigners visit making electronic visa system,"['armenia', 'ancient', 'nation', 'wondrous', 'prove', 'ministry', 'easier']"
3012,kayaking ideal middle ground adventure adrenaline filled outdoor activity travel alcabana motivation innovation aviation visa dubai travelgram explore world uae travelling tour tourism traveller helloalcabana,"['dubai', 'middle ground', 'outdoor activity', 'ideal', 'adventure', 'adrenaline', 'travel', 'motivation', 'innovation', 'aviation', 'explore', 'tourism']"
3013,drivers longer make multiple transactions high priced fill ups visa mastercard csnewsonline,"['transaction', 'visa mastercard', 'high priced', 'longer', 'fill']"
